ticker,stage2_flag,weekly_close_above_30w_ma,ma_slope_positive,golden_cross,near_52w_high,breakout_volume,score_trend,score_relative_strength,score_volume_accumulation,score_volatility_contraction,score_distance_from_high,score_total,pct_below_3yr_high,pct_above_30dma,fund_revenue_growth,fund_margin_expansion,fund_profitability_path,fund_pe_compression,fund_earnings_beat,fund_total,price,mcap,adv_20d_dollar,industry,sector,business_summary,combined_score,themes,new_today
ATLC,True,True,True,True,True,True,2,2,2,1,2,9,0.0,0.23745661563893752,0,0,0,0,0,0,110.41000366210938,1669178112.0,15713315.993118286,Credit Services,Financial Services,"Atlanticus Holdings Corporation, a financial technology company, provides products and services to lenders in the United States. The company operates in two segments, Credit as a Service (CaaS) and Auto Finance. Its CaaS segment offers private label credit products associated with the healthcare space under the Curae brand, as well as consumer electronics, furniture, elective medical procedures,...",9,[],False
KALU,True,True,True,True,True,True,2,2,2,1,2,9,0.018150378352002797,0.03978518789578675,0,0,0,0,0,0,187.1699981689453,3058471168.0,46368406.72798157,Aluminum,Basic Materials,"Kaiser Aluminum Corporation, together with its subsidiaries, manufactures and sells semi-fabricated specialty aluminum mill products. It offers flat-rolled plate, sheet, and coil; extruded rod, bar, hollows, and shapes; drawn rod, bar, pipe, tube, and wire; and cast aluminum products. The company also offers aero/HS products, such as heat-treated plates and sheets, hard alloy extruded shapes,...",9,[],True
ALRS,True,True,True,True,True,True,2,2,2,0,2,8,0.0,0.06285634865057962,0,0,0,0,0,0,30.81999969482422,774464832.0,6556495.437994003,Banks - Regional,Financial Services,"Alerus Financial Corporation operates as the bank holding company for Alerus Financial, National Association that provides various financial services to businesses and consumers in the United States. The company operates in three segments: Banking, Retirement and Benefit Services, and Wealth. It offers demand deposits, interest-bearing transaction accounts, money market accounts, time and savings...",8,[],True
AMAL,True,True,True,True,True,True,2,2,2,0,2,8,0.0,0.09979778431823938,0,0,0,0,0,0,46.95000076293945,1402272000.0,5698157.878932953,Banks - Regional,Financial Services,"Amalgamated Financial Corp. operates as the bank holding company for Amalgamated Bank that provides commercial and retail banking, investment management, and trust and custody services in the United States. It accepts various deposit products, including non-interest-bearing accounts, interest-bearing demand products, savings accounts, money market accounts, NOW accounts, time deposits, and...",8,[],True
AXGN,True,True,True,True,True,True,2,2,1,1,2,8,0.0,0.06480969810519215,0,0,0,0,0,0,44.93000030517578,2389279744.0,55691666.323337555,Medical Devices,Healthcare,"Axogen, Inc., together with its subsidiaries, engages in the development and commercialization of the technologies used for peripheral nerve regeneration and repair worldwide. The company offers Avance Nerve Graft, a processed nerve allograft intended for the surgical repair of peripheral nerve discontinuities; Axoguard Nerve Connector, a coaptation aid used to align and connect severed...",8,[],True
BELFB,True,True,True,True,True,True,2,2,2,0,2,8,0.0,0.10851145885332357,0,0,0,0,0,0,310.6400146484375,4418141696.0,76671867.24761963,Electronic Components,Technology,"Bel Fuse Inc. designs, manufactures, markets, and sells products that power, protect, and connect electronic circuits. It operates in three product groups: Power Solutions and Protection, Connectivity Solutions, and Magnetic Solutions. The company's products are used in the networking, telecommunications, computing, general industrial, high-speed data transmission, defence, commercial aerospace,...",8,[],True
BFLY,True,True,True,True,True,True,2,2,2,0,2,8,0.0011235141164164218,0.6367988866838559,0,0,0,0,0,0,8.890000343322754,2325987840.0,70057071.4875722,Medical Devices,Healthcare,"Butterfly Network, Inc. develops, manufactures, and commercializes ultrasound imaging solutions in the United States and internationally. The company offers Butterfly iQ+ and iQ3 ultrasound devices that can perform whole-body imaging on a single handheld probe integrated with the clinical workflow, and accessible on a user's smartphone, tablet, and almost any hospital computer system; Butterfly...",8,[],False
BIOA,True,True,True,True,True,True,2,2,2,0,2,8,0.012468796497074091,0.31293687836365386,0,0,0,0,0,0,23.760000228881836,1056196992.0,9165674.855809212,Drug Manufacturers - Specialty & Generic,Healthcare,"BioAge Labs, Inc., a clinical-stage biopharmaceutical company, develops therapeutic product candidates for metabolic diseases. The company's technology platform and differentiated human datasets that allows users to identify targets based on insights into molecular changes that drive aging. Its lead product candidate includes BGE-102, an orally available brain-penetrant small-molecule NLRP3...",8,[],True
BLX,True,True,True,True,True,True,2,2,2,0,2,8,0.0,0.08340979291131159,0,0,0,0,0,0,62.20000076293945,2315718912.0,11613276.083145142,Banks - Regional,Financial Services,"Bladex Inc., a multinational bank, engages in financing of foreign trade and economic integration in Latin America and the Caribbean. It operates through Commercial and Treasury segments. The company accepts deposits. It also offers products and services, such as origination of bilateral short- and medium-term loans, structured and syndicated credits, and loan commitments; financial guarantee...",8,[],True
EFSC,True,True,True,True,True,True,2,2,2,0,2,8,0.0,0.08608321381480298,0,0,0,0,0,0,66.86000061035156,2446126848.0,15463765.466156006,Banks - Regional,Financial Services,"Enterprise Financial Services Corp operates as the financial holding company for Enterprise Bank & Trust that offers banking and wealth management services to individuals and corporate customers in Arizona, California, Florida, Kansas, Missouri, Nevada, New Mexico, and in the United States. It provides interest and non-interest-bearing demand, money markets accounts, savings, and certificates of...",8,[],True
