ticker,stage2_flag,weekly_close_above_30w_ma,ma_slope_positive,golden_cross,near_52w_high,breakout_volume,score_trend,score_relative_strength,score_volume_accumulation,score_volatility_contraction,score_distance_from_high,score_total,pct_below_3yr_high,pct_above_30dma,fund_revenue_growth,fund_margin_expansion,fund_profitability_path,fund_pe_compression,fund_earnings_beat,fund_total,price,mcap,adv_20d_dollar,industry,sector,business_summary,combined_score,themes,new_today
WSR,True,True,True,True,True,True,2,1,2,0,2,7,0.0,0.0034755747459528264,0,1,2,0,1,4,18.950000762939453,985931328.0,8257627.864151001,REIT - Retail,Real Estate,"Whitestone REIT is a community-centered real estate investment trust (REIT) that acquires, owns, operates, and develops open-air, retail centers located in some of the fastest growing markets in the country: Phoenix, Austin, Dallas-Fort Worth, Houston and San Antonio. Our centers are convenience focused: merchandised with a mix of service-oriented tenants providing food (restaurants and grocers),...",11,[],True
KALU,False,True,True,True,True,False,2,2,2,1,2,9,0.0293763099201417,0.02911267205250963,3,1,2,1,1,8,185.02999877929688,3023502336.0,42171407.263793945,Aluminum,Basic Materials,"Kaiser Aluminum Corporation, together with its subsidiaries, manufactures and sells semi-fabricated specialty aluminum mill products. It offers flat-rolled plate, sheet, and coil; extruded rod, bar, hollows, and shapes; drawn rod, bar, pipe, tube, and wire; and cast aluminum products. The company also offers aero/HS products, such as heat-treated plates and sheets, hard alloy extruded shapes,...",17,[],True
KNSA,False,True,True,True,True,False,2,2,1,0,2,7,0.02508528061916314,0.08124990411274645,3,2,2,2,1,10,57.130001068115234,4395468800.0,28185939.85836029,Drug Manufacturers - Specialty & Generic,Healthcare,"Kiniksa Pharmaceuticals International, plc, a biopharmaceutical company, develops and commercializes medical therapies in the United States, the United Kingdom, and internationally. The company offers ARCALYST, an interleukin-1alpha and 1beta cytokine trap for the treatment of recurrent pericarditis, a chronic autoinflammatory cardiovascular disease and cardiac sarcoidosis. It also develops...",17,[],True
ASTH,False,True,True,True,True,False,1,2,1,1,2,7,0.46121395830268197,0.029639980720915227,3,1,2,2,1,9,39.59000015258789,1963007488.0,19350155.184726715,Medical Care Facilities,Healthcare,"Astrana Health, Inc., a healthcare management company, provides medical care services in the United States. The company operates through three segments: Care Partners, Care Delivery, and Care Enablement. The company offers care coordination services to patients, families, primary care physicians, specialists, acute care hospitals, alternative sites of inpatient care, physician groups, and health...",16,[],True
ATLC,False,True,True,True,True,False,2,2,2,0,2,8,0.005992869427244482,0.16093957641779053,3,0,2,2,1,8,99.5199966430664,1504542976.0,13017280.526237488,Credit Services,Financial Services,"Atlanticus Holdings Corporation, a financial technology company, provides products and services to lenders in the United States. The company operates in two segments, Credit as a Service (CaaS) and Auto Finance. Its CaaS segment offers private label credit products associated with the healthcare space under the Curae brand, as well as consumer electronics, furniture, elective medical procedures,...",16,[],False
AYA,False,True,True,True,True,False,2,1,1,0,2,6,0.08737861594912115,0.032985051315859895,3,2,2,2,1,10,19.739999771118164,2829723904.0,9390055.950832367,Silver,Basic Materials,"Aya Gold & Silver Inc., together with its subsidiaries, engages in the exploration, evaluation, and development of precious metals projects in Morocco. The company primarily explores for gold and silver deposits. Its flagship project holds 100% interests in the Zgounder property located east of Agadir in the Proterozoic Siroua Massif of the Anti-Atlas Range, Morocco covering an area of...",16,[],False
CNOB,False,True,True,True,True,False,2,2,1,1,2,8,0.002136090749050778,0.07039512676223904,3,0,2,2,1,8,32.70000076293945,1644433920.0,12265286.15242958,Banks - Regional,Financial Services,"ConnectOne Bancorp, Inc. operates as the bank holding company for ConnectOne Bank that provides commercial banking products and services for small and mid-sized businesses, local professionals, and individuals in the United States. The company offers personal and business checking, money market, and time and savings accounts; credit cards, wire transfers, safe deposit boxes, automated teller...",16,[],False
INSW,False,True,True,True,True,False,2,2,2,0,2,8,0.0,0.11478699518107592,3,2,2,0,1,8,88.41000366210938,4376710144.0,40712340.19859314,Oil & Gas Midstream,Energy,"International Seaways, Inc. owns and operates a fleet of oceangoing vessels for the transportation of crude oil and petroleum products in the international flag trade. The company operates in two segments: Crude Tankers and Product Carriers. It operates fleet of 70 vessels of VLCCs, Suezmaxes, and Aframaxes, as well as MRs, LR1, and LR2 product carrier. The company provides ship-to-ship (STS)...",16,[],True
LFST,False,True,True,True,True,False,2,2,2,0,2,8,0.16242037166398382,0.16065986591024414,1,2,2,2,1,8,9.204999923706055,3514785792.0,22248298.892612457,Medical Care Facilities,Healthcare,"LifeStance Health Group, Inc., through its subsidiaries, provides outpatient mental health services to children, adolescents, adults, and geriatrics in the United States. The company offers patients a multidisciplinary suite of mental health services, psychiatric evaluations and treatment, psychological, and neuropsychological testing, as well as individual, family, and group therapy. It also...",16,[],True
CARE,False,True,True,True,True,False,2,2,2,1,2,9,0.0,0.12614331374468168,3,0,2,0,1,6,31.520000457763672,700437760.0,10082671.012849808,Banks - Regional,Financial Services,"Carter Bankshares, Inc. operates as the bank holding company for Carter Bank & Trust that provides various retail and commercial banking products and insurance services in the United States. It offers various deposit products, including checking, savings, retirement, and money market accounts, as well as certificates of deposit. The company also provides commercial loans, such as secured and...",15,[],False
