ticker,stage2_flag,weekly_close_above_30w_ma,ma_slope_positive,golden_cross,near_52w_high,breakout_volume,score_trend,score_relative_strength,score_volume_accumulation,score_volatility_contraction,score_distance_from_high,score_total,pct_below_3yr_high,pct_above_30dma,fund_revenue_growth,fund_margin_expansion,fund_profitability_path,fund_pe_compression,fund_earnings_beat,fund_total,price,mcap,adv_20d_dollar,industry,sector,business_summary,combined_score,themes,new_today
TJGC,True,True,True,True,True,True,2,1,2,0,2,7,0.7535353573885831,0.32854185348118387,0,0,0,0,0,0,6.099999904632568,61610140.0,6444844.061126709,Advertising Agencies,Communication Services,"TJGC Group Limited, through its subsidiary, Ctrl Media Limited, provides integrated marketing and advertising services in Hong Kong. It offers services to developers of mobile gaming applications that gamers download from the developers' websites and applicable mobile operating systems, such as Apple Store or Android Google Play Store; and advertising services, including planning, creating,...",7,[],True
AYA,False,True,True,True,True,False,2,2,1,1,2,8,0.022434740653553453,0.15347894429486952,3,2,2,2,1,10,26.579999923706055,3828481024.0,21636399.60407257,Silver,Basic Materials,"Aya Gold & Silver Inc., together with its subsidiaries, engages in the exploration, evaluation, and development of precious metals projects in Morocco. The company primarily explores for gold and silver deposits. Its flagship project holds 100% interests in the Zgounder property located east of Agadir in the Proterozoic Siroua Massif of the Anti-Atlas Range, Morocco covering an area of...",18,[],False
LPG,False,True,True,True,True,False,2,2,2,1,2,9,0.0,0.13678983020006605,3,2,2,0,1,8,51.31999969482422,2195607040.0,27728677.605953217,Oil & Gas Midstream,Energy,"Dorian LPG Ltd., together with its subsidiaries, engages in the transportation of liquefied petroleum gas through its LPG tankers worldwide. It owns and operates twenty-eight very large gas carriers. Dorian LPG Ltd. was incorporated in 2013 and is headquartered in Stamford, Connecticut.",17,[],True
AAMI,False,True,True,True,True,False,2,2,2,0,2,8,0.006593888187931009,0.051704027036600236,3,0,2,2,1,8,91.9000015258789,3261542912.0,35625004.465522766,Asset Management,Financial Services,"Acadian Asset Management Inc. is a publicly owned asset management holding company. The firm provides its services to individuals and institutions. It manages separate client focused portfolios through its subsidiaries. The firm also launches equity mutual funds for its clients. It invests in public equity, fixed income, and alternative investment markets through its subsidiaries. The firm was...",16,[],True
CDNA,False,True,True,True,True,False,2,2,2,1,2,9,0.022834819922120848,0.12564576642324218,3,2,2,0,0,7,47.5,2457375744.0,54018345.598106384,Diagnostics & Research,Healthcare,"CareDx, Inc. provides solutions for improving outcomes for transplant patients and advancing organ health in the United States and internationally. The company provides AlloSure Kidney, a donor-derived cell-free DNA (dd-cfDNA) solution for kidney transplant patients; AlloMap Heart, a gene expression profiling solution for heart transplant patients; AlloSure Heart, a dd-cfDNA solution for heart...",16,[],True
CHEF,False,True,True,True,True,False,2,2,2,1,2,9,0.016471621595254497,0.07784485044947687,0,2,2,2,1,7,113.44999694824219,4628315648.0,79669561.67037964,Food Distribution,Consumer Defensive,"The Chefs' Warehouse, Inc., together with its subsidiaries, distributes specialty food and center-of-the-plate products in the United States, the Middle East, and Canada. It offers specialty food products, such as artisan charcuterie, specialty cheeses, unique oils and vinegars, truffles, caviar, chocolate, and pastry products and center-of-the-plate products that includes custom cut beef,...",16,[],True
DHT,False,True,True,True,True,False,2,2,1,1,2,8,0.005045428002495913,0.11425016985224616,3,2,2,0,1,8,19.719999313354492,3179565312.0,58818099.42547798,Oil & Gas Midstream,Energy,"DHT Holdings, Inc., through its subsidiaries, owns and operates crude oil tankers primarily in Monaco, Singapore, Norway, and India. The company also offers technical management services. As of December 15, 2025, it had a fleet of 22 very large crude carriers. The company was incorporated in 2005 and is headquartered in Hamilton, Bermuda.",16,[],True
NIC,False,True,True,True,True,False,2,2,1,1,2,8,0.033962695151102666,0.004382882987122628,3,0,2,2,1,8,172.94000244140625,3624392192.0,28344310.766067505,Banks - Regional,Financial Services,"Nicolet Bankshares, Inc. operates as the bank holding company for Nicolet National Bank that provides banking products and services for businesses and individuals in Wisconsin, Michigan, and Minnesota. The company accepts demand deposits, checking, savings, and money market accounts; various certificates of deposit; and individual retirement accounts. It also offers commercial loans, including...",16,[],True
SBLK,False,True,True,True,True,False,2,2,1,1,2,8,0.0,0.12124711459313312,3,1,2,1,1,8,30.700000762939453,3428311552.0,43375087.03654289,Marine Shipping,Industrials,"Star Bulk Carriers Corp., a shipping company, engages in the ocean transportation of dry bulk cargoes through the ownership and operation of dry bulk carrier vessels worldwide. Its vessels transport a range of bulk commodities, including iron ores, minerals and grains, bauxite, fertilizers, and steel products. As of December 31, 2025, the company owned a fleet of 136 dry bulk vessels consisting...",16,[],True
WT,False,True,True,True,True,False,2,2,1,0,2,7,0.0,0.12820582099677014,3,1,2,2,1,9,23.84000015258789,3612048896.0,52465827.176151276,Asset Management,Financial Services,"WisdomTree, Inc., through its subsidiaries, operates as an exchange-traded funds (ETFs) sponsor and asset manager. It offers ETFs in equities, currency, fixed income, and alternatives asset classes. The company also licenses its indexes to third parties for proprietary products, as well as offers a platform to promote the use of WisdomTree ETFs in 401(k) plans. It develops index using its...",16,[],True
