ticker,stage2_flag,weekly_close_above_30w_ma,ma_slope_positive,golden_cross,near_52w_high,breakout_volume,score_trend,score_relative_strength,score_volume_accumulation,score_volatility_contraction,score_distance_from_high,score_total,pct_below_3yr_high,pct_above_30dma,fund_revenue_growth,fund_margin_expansion,fund_profitability_path,fund_pe_compression,fund_earnings_beat,fund_total,price,mcap,adv_20d_dollar,industry,sector,business_summary,combined_score,themes,new_today
CDNA,True,True,True,True,True,True,2,2,2,0,2,8,0.4243623445760381,0.17874833003582627,0,0,0,0,0,0,26.18000030517578,1352445184.0,17649290.91275215,Diagnostics & Research,Healthcare,"CareDx, Inc. provides solutions for improving outcomes for transplant patients and advancing organ health in the United States and internationally. The company provides AlloSure Kidney, a donor-derived cell-free DNA (dd-cfDNA) solution for kidney transplant patients; AlloMap Heart, a gene expression profiling solution for heart transplant patients; AlloSure Heart, a dd-cfDNA solution for heart...",8,[],True
CHEF,True,True,True,True,True,True,2,2,2,0,2,8,0.0,0.16503433376609977,0,0,0,0,0,0,95.4000015258789,3890185728.0,42122404.24900055,Food Distribution,Consumer Defensive,"The Chefs' Warehouse, Inc., together with its subsidiaries, distributes specialty food and center-of-the-plate products in the United States, the Middle East, and Canada. It offers specialty food products, such as artisan charcuterie, specialty cheeses, unique oils and vinegars, truffles, caviar, chocolate, and pastry products and center-of-the-plate products that includes custom cut beef,...",8,[],True
FMBH,True,True,True,True,True,True,2,2,1,1,2,8,0.017355851518604314,0.039617668255138086,0,0,0,0,0,0,45.86000061035156,1220600448.0,5817084.342002869,Banks - Regional,Financial Services,"First Mid Bancshares, Inc., a financial holding company, provides community banking products and services to commercial, retail, and agricultural customers in the United States. It accepts various deposit products, such as demand deposits, savings accounts, money market deposits, and time deposits. The company's loan products include commercial real estate, commercial and industrial, agricultural...",8,[],True
FSBC,True,True,True,True,True,True,2,2,2,0,2,8,0.0,0.05682565296764014,0,0,0,0,0,0,44.869998931884766,959147904.0,5268681.086101532,Banks - Regional,Financial Services,"Five Star Bancorp operates as the bank holding company for Five Star Bank that provides banking products and services to small and medium-sized businesses, professionals, and individuals primarily in Northern California. The company offers deposit products, including checking, savings, money market, and term certificate accounts, as well as time deposits. It also provides debit cards, remote...",8,[],True
GEF-B,True,True,True,True,True,True,2,1,2,1,2,8,0.02863795524309304,0.07451250311491865,0,0,0,0,0,0,86.75,3285867264.0,6433562.782669067,Packaging & Containers,Consumer Cyclical,"Greif, Inc., together with its subsidiaries, produces and sells industrial packaging products and services worldwide. It operates in four segments: Customized Polymer Solutions; Durable Metal Solutions; Sustainable Fiber Solutions; and Integrated Solutions. The Customized Polymer Solutions segment produces and sells polymer-based packaging products, such as plastic drums, rigid intermediate bulk...",8,[],False
CTRN,True,True,True,True,True,True,2,2,1,0,2,7,0.359788919816231,0.324145763671409,0,0,0,0,0,0,60.65999984741211,505288576.0,7802871.436729431,Apparel Retail,Consumer Cyclical,"Citi Trends, Inc. operates as a value retailer of apparel, accessories, and home trends. The company offers apparel for juniors, missy, and plus size, including trend right sportswear, outerwear, sleepwear, lingerie, and scrubs for women; basics, fashion, and trends for boys up to size 20 and girls up to size 16, as well as sizes for newborns, infants, and toddlers; children's uniforms,...",7,[],True
EBC,True,True,True,True,True,True,2,1,2,0,2,7,0.04546192120318997,0.038373322714648446,0,0,0,0,0,0,20.600000381469727,4428587520.0,54790024.39930916,Banks - Regional,Financial Services,"Eastern Bankshares, Inc. operates as the bank holding company for Eastern Bank that provides banking, trust, and investment services to retail, commercial, and small business customers in the United States. The company offers deposit accounts, interest checking accounts, money market accounts, savings accounts, and time certificates of deposit accounts. It also provides commercial and industrial...",7,[],True
HBNC,True,True,True,True,True,True,2,2,1,0,2,7,0.02075948594491693,0.03943103242199865,0,0,0,0,0,0,19.34000015258789,992717632.0,8028948.675785065,Banks - Regional,Financial Services,"Horizon Bancorp, Inc. operates as the bank holding company for Horizon Bank that provides commercial and retail banking services to individuals and corporate clients in Indiana and Michigan in the United States. The company offers checking, savings, money market, certificates of deposit, and time deposit accounts, as well as non-interest and interest-bearing demand deposits. It also provides...",7,[],True
IVT,True,True,True,True,True,True,2,2,1,0,2,7,0.01914280482700893,0.04094448047571824,0,0,0,0,0,0,34.33000183105469,2675538176.0,33776827.56479263,REIT - Retail,Real Estate,"InvenTrust Properties Corp. is a premier Sun Belt, multi-tenant essential retail REIT that owns, leases, redevelops, acquires and manages grocery-anchored neighborhood and community centers as well as high-quality power centers that often have a grocery component. Management pursues the Company's business strategy by acquiring retail properties in Sun Belt markets, opportunistically disposing of...",7,[],True
CNXN,True,True,True,True,True,True,2,0,1,1,2,6,0.054258110440678506,0.031447132799466086,0,0,0,0,0,0,70.56999969482422,1780202240.0,8908850.673599243,Electronics & Computer Distribution,Technology,"PC Connection, Inc., together with its subsidiaries, provides various information technology (IT) solutions worldwide. It operates in three segments: Connection Enterprise Solutions, Connection Business Solutions, and Connection Public Sector Solutions. The company offers IT solutions, including computer systems, data center solutions, and artificial intelligence; a portfolio of managed services...",6,[],True
FA,True,True,True,True,True,True,1,0,1,0,2,4,0.19367790021303352,0.01839918359886306,0,0,0,0,0,0,16.06999969482422,2756600064.0,27637679.353704453,Specialty Business Services,Industrials,"First Advantage Corporation provides employment background screening, digital identity, and verification solutions internationally. It offers pre-onboarding products and solutions, such as criminal background checks, drug/health screening, extended workforce screening, FBI channeling, identity checks and biometric fraud mitigation tools, education/work history verification, driver records and...",4,[],False
