ticker,stage2_flag,weekly_close_above_30w_ma,ma_slope_positive,golden_cross,near_52w_high,breakout_volume,score_trend,score_relative_strength,score_volume_accumulation,score_volatility_contraction,score_distance_from_high,score_total,pct_below_3yr_high,pct_above_30dma,fund_revenue_growth,fund_margin_expansion,fund_profitability_path,fund_pe_compression,fund_earnings_beat,fund_total,price,mcap,adv_20d_dollar,industry,sector,business_summary,combined_score,themes,new_today
ATLC,True,True,True,True,True,True,2,2,2,0,2,8,0.0,0.17763762896509003,0,0,0,0,0,0,100.12000274658203,1513613952.0,12597752.057762146,Credit Services,Financial Services,"Atlanticus Holdings Corporation, a financial technology company, provides products and services to lenders in the United States. The company operates in two segments, Credit as a Service (CaaS) and Auto Finance. Its CaaS segment offers private label credit products associated with the healthcare space under the Curae brand, as well as consumer electronics, furniture, elective medical procedures,...",8,[],True
AZZ,True,True,True,True,True,True,2,2,2,0,2,8,0.0,0.09949141034143437,0,0,0,0,0,0,157.17999267578125,4718011904.0,38646401.80648804,Specialty Business Services,Industrials,"AZZ Inc. provides hot-dip galvanizing and coil coating solutions in North America. It operates through the AZZ Metal Coatings; and the AZZ Precoat Metals segments. The company offers metal coating solutions for corrosion protection, including hot-dip galvanizing, spin galvanizing, powder coating, anodizing, and plating to the steel fabrication and other industries. It also provides aesthetic and...",8,[],True
BFLY,True,True,True,True,True,True,2,2,2,0,2,8,0.0,0.8541666086832125,0,0,0,0,0,0,8.899999618530273,2328603904.0,24565575.93470335,Medical Devices,Healthcare,"Butterfly Network, Inc. develops, manufactures, and commercializes ultrasound imaging solutions in the United States and internationally. The company offers Butterfly iQ+ and iQ3 ultrasound devices that can perform whole-body imaging on a single handheld probe integrated with the clinical workflow, and accessible on a user's smartphone, tablet, and almost any hospital computer system; Butterfly...",8,[],True
CDNA,True,True,True,True,True,True,2,2,2,0,2,8,0.4243623445760381,0.17874833003582627,0,0,0,0,0,0,26.18000030517578,1352445184.0,17649290.91275215,Diagnostics & Research,Healthcare,"CareDx, Inc. provides solutions for improving outcomes for transplant patients and advancing organ health in the United States and internationally. The company provides AlloSure Kidney, a donor-derived cell-free DNA (dd-cfDNA) solution for kidney transplant patients; AlloMap Heart, a gene expression profiling solution for heart transplant patients; AlloSure Heart, a dd-cfDNA solution for heart...",8,[],False
CHEF,True,True,True,True,True,True,2,2,2,0,2,8,0.0,0.16503433376609977,0,0,0,0,0,0,95.4000015258789,3890185728.0,42122404.24900055,Food Distribution,Consumer Defensive,"The Chefs' Warehouse, Inc., together with its subsidiaries, distributes specialty food and center-of-the-plate products in the United States, the Middle East, and Canada. It offers specialty food products, such as artisan charcuterie, specialty cheeses, unique oils and vinegars, truffles, caviar, chocolate, and pastry products and center-of-the-plate products that includes custom cut beef,...",8,[],False
CNOB,True,True,True,True,True,True,2,2,1,1,2,8,0.009765019540865045,0.06568508139191571,0,0,0,0,0,0,32.45000076293945,1631861760.0,11948877.696533203,Banks - Regional,Financial Services,"ConnectOne Bancorp, Inc. operates as the bank holding company for ConnectOne Bank that provides commercial banking products and services for small and mid-sized businesses, local professionals, and individuals in the United States. The company offers personal and business checking, money market, and time and savings accounts; credit cards, wire transfers, safe deposit boxes, automated teller...",8,[],True
CTS,True,True,True,True,True,True,2,2,1,1,2,8,0.0,0.06007626851565875,0,0,0,0,0,0,67.0,1915724928.0,19217817.428512573,Electronic Components,Technology,"CTS Corporation designs, manufactures, and sells sensors, connectivity components, and actuators in North America, Europe, and Asia. The company offers controls, pedals, sensors, switches, transducers, and piezo sensing products; EMI/RFI filters, capacitors, resistors, RF filters, and frequency control products; and piezo microactuators and rotary actuators. It serves transportation, industrial,...",8,[],True
CURB,True,True,True,True,True,True,2,2,1,1,2,8,0.03003505698820682,0.03990778062484282,0,0,0,0,0,0,29.860000610351562,3151404800.0,25466070.963964462,REIT - Retail,Real Estate,"Curbline Properties Corp. is the owner and manager of convenience shopping centers. It is positioned on the curbline of well-trafficked intersections and major vehicular corridors in suburban, high household income communities. The Company is a self-managed real estate investment trust (REIT) that is publicly traded under on the NYSE.Curbline Properties Corp. was incorporated on October 25th,...",8,[],True
FMBH,True,True,True,True,True,True,2,2,1,1,2,8,0.017355851518604314,0.039617668255138086,0,0,0,0,0,0,45.86000061035156,1220600448.0,5817084.342002869,Banks - Regional,Financial Services,"First Mid Bancshares, Inc., a financial holding company, provides community banking products and services to commercial, retail, and agricultural customers in the United States. It accepts various deposit products, such as demand deposits, savings accounts, money market deposits, and time deposits. The company's loan products include commercial real estate, commercial and industrial, agricultural...",8,[],False
FSBC,True,True,True,True,True,True,2,2,2,0,2,8,0.0,0.05682565296764014,0,0,0,0,0,0,44.869998931884766,959147904.0,5268681.086101532,Banks - Regional,Financial Services,"Five Star Bancorp operates as the bank holding company for Five Star Bank that provides banking products and services to small and medium-sized businesses, professionals, and individuals primarily in Northern California. The company offers deposit products, including checking, savings, money market, and term certificate accounts, as well as time deposits. It also provides debit cards, remote...",8,[],False
